Name,Vmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
WASP-004,12.46,400.4,0.840,1.34,1.25,16.64,1991
HATS-65,12.50,407.6,0.840,3.10,0.79,8.99,2047
TrES-1,11.79,291.6,0.833,3.03,0.76,15.62,1364
HAT-P-46,11.94,311.8,0.832,4.46,0.49,7.41,1726
KELT-02,8.70,69.8,0.828,4.11,1.52,22.70,2037
HATS-05,12.63,421.7,0.819,4.76,0.24,7.06,1219
WASP-147,12.30,359.5,0.812,4.60,0.28,5.48,1633
WASP-140,11.13,209.1,0.810,2.24,2.44,29.17,1577
WASP-103,12.39,368.8,0.799,0.93,1.47,13.45,2961
WASP-058,11.66,262.8,0.797,5.02,0.89,11.75,1519
WASP-084,10.83,179.3,0.797,8.52,0.69,17.88,953
HAT-P-08,10.30,140.4,0.797,3.08,1.27,18.11,2061
WASP-041,11.64,258.3,0.791,3.05,0.98,17.45,1478
WASP-124,12.70,414.1,0.778,3.37,0.60,9.67,1654
HAT-P-24,11.75,266.5,0.776,3.35,0.68,10.92,1930
WASP-003,10.64,159.0,0.772,1.85,1.77,24.22,2372
WASP-022,11.71,259.9,0.771,3.53,0.62,10.64,1787
GJ_1214,14.67,992.4,0.753,1.58,0.02,7.57,679
WASP-048,11.66,248.0,0.753,2.14,0.91,11.54,2327
MASCARA-1,8.27,51.3,0.742,2.15,3.70,40.76,3027
WASP-151,12.87,426.0,0.740,4.53,0.36,6.33,1560
HATS-46,13.63,602.4,0.738,4.74,0.17,5.26,1256
TrES-2,11.41,216.6,0.737,2.47,1.21,21.00,1744
WASP-024,11.23,198.8,0.735,2.34,1.11,16.19,2108
WASP-097,10.58,146.9,0.733,2.07,1.32,25.62,1842
WASP-190,11.65,236.5,0.721,5.37,1.00,9.68,1803
KELT-15,11.44,214.1,0.719,3.33,1.20,12.83,1950
WASP-075,11.45,214.8,0.718,2.48,1.08,15.60,2030
K2-029,12.56,355.1,0.712,3.26,0.73,12.78,1388
WASP-142,12.30,310.5,0.702,2.05,0.84,8.89,2389
HATS-39,12.75,375.2,0.689,4.58,0.63,6.34,1958
WASP-145,11.50,208.3,0.680,1.77,0.89,27.23,1434
WASP-026,11.10,172.0,0.676,2.77,1.02,17.10,1963
WASP-042,12.57,335.6,0.670,4.98,0.53,10.38,1215
HATS-30,12.19,281.5,0.669,3.17,0.71,12.67,1682
K2-234,9.38,76.6,0.664,11.81,0.11,7.41,1253
WASP-002,11.98,252.7,0.662,2.15,0.88,19.30,1530
CoRoT-01,13.60,529.0,0.657,1.51,1.03,10.61,2279
HD_106315c,8.95,61.7,0.652,21.06,0.05,7.90,1039
WASP-083,12.87,369.6,0.642,4.97,0.30,6.87,1326
HAT-P-09,12.30,283.0,0.639,3.92,0.78,10.13,1832
Kepler-447,12.56,316.0,0.633,7.79,1.37,12.47,1247
WASP-143,12.58,318.5,0.633,3.78,0.72,11.80,1538
WASP-050,11.55,197.2,0.629,1.96,1.44,27.50,1714
Kepler-007,12.99,380.2,0.625,4.88,0.45,4.13,1927
K2-019b,13.00,380.6,0.623,7.92,0.09,5.03,1046
HATS-26,12.96,371.2,0.619,3.30,0.65,5.26,2285
HATS-27,12.77,339.7,0.618,4.64,0.53,5.84,1970
EPIC_201498078,10.61,123.6,0.608,11.63,0.18,6.29,1268
HATS-29,12.61,307.3,0.602,4.61,0.65,10.34,1439
HD_221416,8.15,39.4,0.601,14.28,0.20,7.11,1429
GJ_3470,12.27,262.5,0.601,3.34,0.04,8.94,769
HAT-P-27,12.16,247.9,0.597,3.04,0.66,15.18,1439
HAT-P-49,10.21,100.7,0.596,2.69,1.73,21.48,2530
WASP-028,12.15,246.0,0.595,3.41,0.89,14.83,1727
WASP-092,13.18,394.8,0.595,2.17,0.81,9.35,2236
K2-135c,10.51,114.1,0.588,3.65,0.00,5.26,967
WASP-060,12.18,241.3,0.576,4.30,0.56,9.25,1760
WASP-100,10.80,127.6,0.575,2.85,2.03,17.62,2618
TrES-3,12.50,278.9,0.575,1.31,1.90,27.43,1949
WASP-111,10.26,99.2,0.574,2.31,1.83,21.78,2523
HATS-33,11.91,208.2,0.563,2.55,1.19,19.53,1699
WASP-098,12.98,337.7,0.558,2.96,0.92,17.46,1393
HAT-P-03,11.86,200.9,0.556,2.90,0.59,17.77,1393
HATS-51,12.47,265.5,0.555,3.35,0.77,9.57,1840
HATS-13,13.89,506.0,0.550,3.04,0.54,9.16,1481
HAT-P-05,12.00,211.9,0.550,2.79,1.06,16.76,1804
HAT-P-56,10.91,127.1,0.545,2.79,2.18,25.14,2188
K2-096b,8.94,51.2,0.543,0.96,0.02,16.95,2077
WASP-119,12.27,236.6,0.542,2.50,1.23,15.55,1863
HAT-P-45,12.79,300.4,0.542,3.13,0.89,10.87,1961
EPIC_211945201,10.15,88.9,0.541,19.49,0.09,6.96,1055
WASP-064,12.29,238.0,0.540,1.57,1.27,19.50,2012
WASP-102,12.73,290.4,0.538,2.71,0.62,9.76,1962
WASP-156,11.57,169.6,0.536,3.84,0.13,12.20,1153
HATS-08,14.03,526.5,0.536,3.58,0.14,4.49,1571
HATS-23,13.90,491.6,0.532,2.16,1.47,10.53,1969
HAT-P-07,10.46,100.7,0.531,2.21,1.87,19.90,2636
HAT-P-55,13.21,355.2,0.528,3.58,0.58,10.33,1561
WASP-056,12.17,219.2,0.526,4.17,0.57,11.87,1449
HAT-P-25,13.19,349.4,0.524,3.65,0.57,10.95,1401
HAT-P-38,12.56,259.9,0.521,4.64,0.27,9.72,1284
HATS-25,13.10,331.3,0.518,4.30,0.61,9.57,1518
Kepler-079d,14.03,503.5,0.513,52.09,0.02,1.15,754
HAT-P-28,13.03,314.7,0.508,3.26,0.63,10.56,1642
K2-031,10.80,112.4,0.507,1.26,1.86,40.94,2078
HATS-34,13.85,455.3,0.504,2.11,0.94,11.41,1716
HATS-35,12.56,247.9,0.497,1.82,1.22,14.13,2418
K2-096c,8.94,46.3,0.491,29.84,0.03,10.55,660
WASP-104,11.79,171.6,0.490,1.75,1.31,26.56,1792
CoRoT-05,14.00,472.6,0.488,4.04,0.46,7.21,1660
WASP-068,10.68,101.9,0.485,5.08,0.95,15.31,1769
WASP-087,10.74,103.7,0.481,1.68,2.18,28.17,2749
HAT-P-43,13.36,345.6,0.479,3.33,0.66,10.00,1615
WASP-132,12.40,217.7,0.470,7.13,0.41,13.43,905
K2-032b,12.31,208.5,0.469,8.99,0.05,6.13,981
K2-030,13.53,353.3,0.453,4.10,0.62,10.81,1391
XO-4,10.67,93.8,0.449,4.12,1.61,23.08,1953
HAT-P-22,9.73,60.7,0.448,3.21,2.19,48.36,1538
EPIC_249451861,11.41,131.6,0.448,14.89,0.32,10.88,976
HAT-P-36,12.26,192.7,0.444,1.33,1.85,27.00,2128
HAT-P-66,12.99,268.8,0.442,2.97,0.78,7.68,2260
WASP-057,13.04,273.1,0.439,2.84,0.64,14.48,1593
K2-135d,10.51,84.7,0.436,6.20,0.01,9.67,810
EPIC_220501947,13.95,408.5,0.432,4.03,0.34,9.29,994
WASP-144,12.90,250.6,0.430,2.28,0.44,15.09,1437
Qatar-1,12.84,242.4,0.427,1.42,1.29,24.55,1652
HATS-03,12.44,200.4,0.425,3.55,1.07,13.92,1960
WASP-023,12.68,217.6,0.413,2.94,0.92,19.96,1344
HATS-53,14.14,426.0,0.413,3.85,0.59,8.21,1558
HATS-67,13.65,337.3,0.409,1.61,1.48,12.76,2596
HATS-06,15.16,674.2,0.408,3.33,0.32,7.94,858
HATS-50,14.03,392.9,0.400,3.82,0.39,7.57,1616
WASP-136,9.98,60.5,0.398,5.21,1.51,19.65,2072
HATS-31,13.11,255.0,0.397,3.38,0.88,8.11,2170
Kepler-008,13.65,323.9,0.393,3.52,0.59,7.67,1978
HATS-28,13.93,363.9,0.388,3.18,0.67,11.68,1489
K2-024b,11.28,106.0,0.383,20.89,0.06,6.08,885
WASP-043,12.37,172.6,0.378,0.81,2.03,46.97,1714
Kepler-426,14.99,571.0,0.374,3.22,0.34,7.09,1548
HATS-01,12.05,147.4,0.374,3.45,1.85,27.12,1628
Kepler-448,11.38,107.6,0.371,17.86,1.10,13.15,1285
HATS-45,13.31,260.3,0.369,4.19,0.70,10.49,1807
WASP-008,9.77,50.3,0.365,8.16,2.25,51.76,1103
WASP-112,13.33,258.3,0.363,3.04,0.88,15.38,1648
KELT-16,11.90,133.2,0.362,0.97,2.75,34.04,2917
Kepler-423,14.42,424.4,0.361,2.68,0.59,10.38,1641
WASP-005,12.14,146.9,0.357,1.63,1.59,28.64,2085
HAT-P-35,12.46,169.8,0.356,3.65,1.05,14.72,1902
WASP-157,12.91,208.0,0.355,3.95,0.57,12.54,1551
HATS-60,12.64,183.2,0.354,3.56,0.65,11.30,1819
Kepler-425,14.95,529.4,0.353,3.80,0.25,6.48,1276
HATS-24,12.83,198.5,0.351,1.35,2.44,27.35,2469
NGTS-1,15.52,681.1,0.349,2.65,0.81,11.38,941
WASP-045,11.98,132.2,0.346,3.13,1.00,25.24,1392
HAT-P-29,11.90,127.3,0.346,5.72,0.77,16.79,1512
Qatar-7,13.03,213.8,0.345,2.03,1.88,16.12,2441
Kepler-018d,13.75,297.0,0.344,14.86,0.05,3.30,949
WASP-065,11.90,125.9,0.342,2.31,1.55,31.07,1766
WASP-044,12.88,196.8,0.340,2.42,0.87,21.45,1552
HATS-64,12.92,200.0,0.340,4.91,0.93,8.23,2159
WASP-159,12.82,189.6,0.337,3.84,0.55,7.16,2155
EPIC_246911830,12.69,178.5,0.337,2.63,1.42,14.61,2361
WASP-072,10.87,76.8,0.335,2.22,1.46,22.45,2619
Kepler-041,14.47,401.6,0.334,1.86,0.56,8.34,2127
HAT-P-37,13.23,226.1,0.333,2.80,1.17,20.88,1517
Kepler-427,14.31,369.8,0.331,10.29,0.29,4.75,1281
GJ_1132,13.49,253.5,0.331,1.63,0.01,12.69,696
HATS-07,13.34,236.5,0.331,3.19,0.12,9.38,1288
K2-107,12.92,193.7,0.329,3.31,0.84,10.04,2106
WASP-165,12.68,172.0,0.326,3.47,0.66,10.27,1878
HAT-P-14,10.00,49.9,0.325,4.63,2.27,37.88,1932
WASP-036,12.70,172.5,0.324,1.54,2.36,33.23,2062
WASP-091,11.99,123.0,0.320,2.80,1.34,31.31,1360
Kepler-025c,10.98,76.9,0.319,12.72,0.08,8.86,1241
Kepler-422,13.55,251.1,0.319,7.89,0.43,8.06,1332
CoRoT-02,12.57,159.3,0.318,1.74,3.57,41.51,1810
WASP-047b,11.93,118.6,0.318,4.16,1.14,22.45,1508
K2-034,11.45,93.1,0.311,3.00,1.65,27.60,1987
WASP-046,12.93,183.7,0.310,1.43,1.91,34.35,1947
HATS-11,14.02,302.8,0.310,3.62,0.83,9.30,1944
WASP-146,12.70,164.7,0.310,3.40,1.11,18.24,1828
K2-139,11.65,101.1,0.308,28.38,0.39,14.69,672
WASP-135,13.28,210.6,0.303,1.40,1.90,27.87,2047
HAT-P-23,12.43,142.2,0.303,1.21,2.07,34.25,2321
HATS-10,13.11,194.3,0.302,3.31,0.53,13.89,1673
HAT-P-54,13.51,232.3,0.301,3.80,0.76,21.14,975
HATS-58,11.55,93.7,0.299,4.22,1.03,21.29,1842
Kepler-006,13.46,224.6,0.297,3.23,0.63,11.48,1726
HATS-44,14.43,347.9,0.295,2.74,0.56,12.19,1403
K2-135b,10.51,57.2,0.294,1.21,0.02,19.28,1397
HD_021749,8.14,19.1,0.293,35.61,0.07,28.27,507
WASP-163,12.54,144.0,0.291,1.61,1.87,32.08,1948
HATS-55,13.47,219.1,0.289,4.20,0.92,14.59,1594
HAT-P-50,11.76,99.2,0.287,3.12,1.35,20.17,2205
HAT-P-42,12.17,119.5,0.287,4.64,1.04,15.79,1699
HATS-02,13.56,225.6,0.285,1.35,1.34,24.44,1873
XO-5,12.13,116.1,0.284,4.19,1.19,22.62,1442
WASP-038,9.45,33.4,0.280,6.87,2.69,55.73,1484
K2-140,12.62,143.7,0.280,6.57,1.02,21.07,1325
WASP-071,10.56,55.2,0.278,2.90,2.24,26.07,2479
KPS-1,13.03,171.8,0.277,1.71,1.09,25.47,1720
HATS-20,13.77,240.3,0.276,3.80,0.27,11.24,1362
Kepler-088b,13.27,183.7,0.266,10.95,0.03,5.98,1242
WASP-173,11.15,68.1,0.261,1.39,3.69,63.52,2187
WTS-2,15.90,598.4,0.258,1.02,1.12,14.94,1826
Kepler-015,13.91,239.0,0.257,4.94,0.70,10.38,1487
Kepler-009c,13.93,241.0,0.257,38.91,0.09,4.49,677
Kepler-089d,12.33,115.2,0.257,22.34,0.33,8.17,1065
WASP-129,12.12,104.3,0.256,5.75,1.00,28.66,1281
WASP-138,11.81,89.2,0.253,3.63,1.22,25.45,1896
Kepler-077,14.10,255.5,0.252,3.58,0.43,11.56,1485
Kepler-078,11.75,83.2,0.242,0.35,0.01,12.77,2678
WASP-114,12.74,131.3,0.242,1.55,1.77,24.46,2412
Kepler-009b,13.93,223.8,0.239,19.24,0.14,6.25,858
HATS-63,13.89,218.6,0.237,3.06,0.96,16.33,1666
HATS-52,13.67,196.9,0.237,1.37,2.24,29.07,2230
LHS_1140c,14.15,245.5,0.237,3.78,0.01,10.80,521
WASP-164,12.63,121.6,0.236,1.78,2.13,41.49,1913
WASP-170,12.79,129.9,0.234,2.35,1.60,33.02,1694
HATS-18,14.07,232.5,0.232,0.84,1.98,27.45,2444
K2-141b,11.49,69.9,0.229,0.28,0.02,21.76,2572
Kepler-412,14.43,266.6,0.226,1.72,0.94,13.26,2175
WASP-018,9.27,24.8,0.226,0.94,10.52,179.88,2868
Kepler-068b,10.11,36.5,0.226,5.40,0.02,11.09,1491
Kepler-013,9.95,33.7,0.225,1.76,6.00,75.23,2594
HATS-09,13.28,154.9,0.223,1.92,0.82,14.71,2161
WASP-053,12.19,93.7,0.223,3.31,2.13,45.81,1252
HATS-71,16.33,625.4,0.221,3.80,0.45,9.56,726
WASP-133,12.88,127.5,0.221,2.18,1.16,19.64,2112
HD_017156,8.17,14.4,0.218,21.22,3.26,71.29,1051
TrES-5,13.72,182.8,0.215,1.48,1.79,31.12,1766
HAT-P-53,13.73,182.8,0.214,1.96,1.48,21.17,2113
HATS-32,14.38,246.2,0.213,2.81,0.92,14.62,1707
WASP-037,12.72,114.2,0.213,3.58,1.80,33.16,1615
HATS-68,12.28,92.2,0.210,3.59,1.29,19.33,2138
HAT-P-16,10.80,45.8,0.207,2.78,4.19,73.39,1864
WASP-066,11.61,66.4,0.206,4.09,2.32,29.76,2143
CoRoT-25,14.97,309.8,0.205,4.86,0.37,7.86,1572
NGTS-3,14.64,261.9,0.201,1.68,2.38,26.93,2029
Kepler-018c,13.75,172.4,0.200,7.64,0.05,5.57,1185
WASP-130,11.11,50.4,0.197,11.55,1.23,38.49,989
EPIC_211442297,13.34,140.3,0.196,20.27,0.84,16.78,807
CoRoT-11,12.80,109.4,0.196,2.99,2.34,28.52,2033
WASP-014,9.75,26.2,0.192,2.24,7.59,122.35,2212
HATS-59,13.95,181.1,0.191,5.42,0.81,15.76,1339
HAT-P-34,10.16,31.5,0.191,5.45,3.33,57.57,1759
EPIC_246471491c,12.03,74.0,0.189,7.14,0.05,12.32,882
HAT-P-52,14.07,186.8,0.187,2.75,0.82,19.92,1447
Qatar-2,13.49,142.4,0.186,1.34,2.47,49.17,1528
WASP-099,9.48,22.1,0.183,5.75,2.78,56.95,1747
EPIC_246067459,13.75,157.2,0.182,3.21,0.86,12.61,1898
HD_106315b,8.95,17.1,0.181,9.55,0.04,20.86,1352
WASP-032,11.56,56.4,0.179,2.72,3.60,64.08,1857
CoRoT-12,15.52,348.8,0.179,2.83,0.87,11.98,1683
EPIC_246471491b,12.03,69.3,0.177,3.47,0.03,14.17,1295
WASP-073,10.48,33.7,0.176,4.09,1.88,34.63,2119
K2-229b,10.98,42.0,0.174,0.58,0.01,18.63,2333
Kepler-435,13.77,151.7,0.174,8.60,0.84,5.26,2032
CoRoT-04,14.00,167.3,0.173,9.20,0.73,13.47,1259
WASP-134,11.25,46.5,0.170,10.15,1.41,35.85,1146
HATS-14,13.79,149.5,0.170,2.77,1.07,24.59,1516
Kepler-1655,11.05,41.4,0.166,11.87,0.02,10.18,1115
Kepler-093b,9.93,24.2,0.163,4.73,0.01,17.95,1348
Kepler-045,16.63,526.5,0.162,2.46,0.50,12.42,936
WASP-047d,11.93,60.2,0.161,9.03,0.04,9.79,1162
HATS-04,13.46,120.4,0.159,2.52,1.32,31.52,1566
WASP-010,12.39,73.3,0.159,3.09,3.14,72.10,1150
HATS-57,12.34,71.1,0.158,2.35,3.15,60.13,1701
Kepler-021,8.25,10.7,0.156,2.79,0.02,18.55,2409
CoRoT-32,14.47,185.2,0.154,6.72,0.15,11.44,1142
Kepler-011c,13.86,139.5,0.154,13.03,0.01,3.44,1024
EPIC_247418783,10.01,23.6,0.153,2.23,0.02,25.15,1662
HATS-54,13.91,141.7,0.153,2.54,0.76,16.55,1875
WASP-059,13.00,93.1,0.152,7.92,0.86,35.61,791
Kepler-017,14.30,166.0,0.149,1.49,2.34,33.80,2036
K2-032d,12.31,66.2,0.149,31.72,0.03,8.47,644
EPIC_249624646c,11.11,38.0,0.148,48.37,0.77,18.96,804
HATS-42,13.62,120.2,0.148,2.29,1.88,23.77,2201
Kepler-025b,10.98,35.6,0.148,6.24,0.03,12.70,1578
Kepler-138d,13.34,105.3,0.147,23.09,0.00,4.08,477
K2-027b,12.64,75.5,0.146,6.77,0.10,15.03,1094
K2-003c,12.17,60.8,0.146,24.65,0.01,6.65,453
WASP-120,10.96,34.5,0.144,3.61,4.85,55.41,2231
Kepler-016,12.23,61.3,0.143,221.78,0.33,14.53,245
WASP-061,12.50,69.2,0.143,3.86,2.06,34.31,1851
Kepler-010b,11.10,36.2,0.142,0.84,0.01,16.87,2602
WASP-106,11.21,37.6,0.140,9.29,1.93,40.53,1341
K2-003b,12.17,57.9,0.139,10.05,0.02,12.15,611
K2-060,12.79,76.9,0.139,3.00,0.43,22.64,1573
HATS-40,13.38,99.2,0.136,3.26,1.59,15.79,2491
CoRoT-24c,13.20,90.2,0.135,11.76,0.09,11.27,841
K2-019c,13.00,81.1,0.133,11.91,0.08,12.42,913
HAT-P-31,11.66,43.3,0.131,5.00,2.17,47.00,1729
Kepler-011e,13.86,115.1,0.127,32.00,0.03,4.49,757
Kepler-089c,12.33,56.8,0.126,10.42,0.05,8.19,1373
WASP-105,12.06,50.1,0.126,7.87,1.80,48.41,1007
Kepler-036c,12.22,53.6,0.126,16.24,0.02,5.68,1207
NGTS-4,13.14,80.3,0.123,1.34,0.07,19.98,1961
WASP-161,11.09,31.1,0.123,5.41,2.49,47.24,1853
Kepler-117b,14.48,147.8,0.122,18.80,0.09,4.51,1176
K2-106c,12.10,49.1,0.122,13.34,0.02,9.94,939
Kepler-030d,15.62,247.3,0.121,142.64,0.07,3.01,421
CoRoT-16,15.63,246.4,0.120,5.35,0.54,9.69,1422
WASP-086,10.66,24.9,0.120,5.03,0.82,50.95,1647
Kepler-004,12.09,48.0,0.119,3.21,0.07,13.73,1928
HAT-P-02,8.71,10.1,0.119,5.63,8.74,152.98,1801
CoRoT-07,11.72,39.9,0.118,0.85,0.02,22.44,2093
WASP-141,12.42,53.9,0.115,3.31,2.69,45.54,1875
